ID	tweet	label	cleaned_text	english_translated
ha_train_00011	@user Ai shiyasa naga shi kansa dan rainin wayon yana zama a qasar tasa ana dubashi. May be fa a Jordan din dayace yayi wannan kalaman tunda yasaba qanqantar damu a idon duniya😣😣	negative	Ai shiyasa naga shi kansa dan rainin wayon yana zama a qasar tasa ana dubashi May be fa a Jordan din dayace yayi wannan kalaman tunda yasaba qanqantar damu a idon duniya	The Wati has been in the wonders of Yason, and live, if he had been in the open time, if he said,
ha_train_00012	@user Chan ta matse musu. Damuwata masallatai da aka rufe ne 😭😭	negative	Chan ta matse musu Damuwata masallatai da aka rufe ne	Chan's squad to them for a clomter clashes
ha_train_00013	@user Mutanan Nigeria 🇳🇬 suna Allah wadai da tafiyar ka kasar waje, ya kamata katsaya asibitin gida adubaka indai Kai mai-kishin chigaban kasane😇	negative	Mutanan Nigeria  suna Allah wadai da tafiyar ka kasar waje ya kamata katsaya asibitin gida adubaka indai Kai maikishin chigaban kasane	The people of Israel condemns Nigeria - Yaki to Nigerien Hospital
ha_train_00014	@user Tayi maganin dan banza..... 😂	negative	Tayi maganin dan banza	Offers
ha_train_00015	@user Nifa Ina ganin nafi simeone murna yau an sallami yan iska🤗🤗🤗	negative	Nifa Ina ganin nafi simeone murna yau an sallami yan iska	NIFA I see Nei Nei Sime Every One Had Today The Coast is Sacked
ha_train_00016	@user Qawar ki tana cikin wani yanayi amman kina IG busy posting pics as if you are under arrest 🙄 https://t.co/vlfqEDHtnY	negative	Qawar ki tana cikin wani yanayi amman kina IG busy posting pics as if you are under arrest	Kina is in a state of Amman Kina Ig Busy Posting Pics as IF You are an undert arrest
ha_train_00017	@user Buhariko to buhari yayafema Allah kuma ya kamu kaidashi ranar wlh zakugane Annabi Isah ba Dan allah bane 😱	negative	Buhariko to buhari yayafema Allah kuma ya kamu kaidashi ranar wlh zakugane Annabi Isah ba Dan allah bane	Buharika to Buhafema Allah, also has appointed the Prophet's Journey of WNH
ha_train_00018	@user Nikam wai yan gudun hijira ne kawai suke da rai mutanen gari kam Baku ganin ukuba da wahalar da suke ciki ne jama'a komi wai aka samu yan gudun hijira yan gudun hijira 😠😡😱😱😒😫😏😚	negative	Nikam wai yan gudun hijira ne kawai suke da rai mutanen gari kam Baku ganin ukuba da wahalar da suke ciki ne jamaa komi wai aka samu yan gudun hijira yan gudun hijira	Nikam You are refugeing people live, you have not seen the afflicted people who are in charge of the people that are refugee
ha_train_00019	@user Kuttumar uba...ai dole muko ma guna😂😂	negative	Kuttumar ubaai dole muko ma guna	The Conspent Farai Must Muko Bad
ha_train_00020	@user Akwai jarababbu d yawa😎	negative	Akwai jarababbu d yawa	There is a lot of newspaper
ha_train_00021	@user Lanberia kenan😅...ai suna sane suka kunno kayar su,,dama ai lokacin siyasa ya kusa~salon su raba mana hankali~sun dade barakar bata yage ba~anki adinke barakar...😡😡😡	negative	Lanberia kenanai suna sane suka kunno kayar sudama ai lokacin siyasa ya kusasalon su raba mana hankalisun dade barakar bata yage baanki adinke barakar	Lanchilda Kenanai are aware who came back to the defeat of the DEFICIAL WORKE HAVE MAKE MONE
ha_train_00022	@user Boko haram sun shiga garinmu garkida sun tarwatsa kowa kowa yanbar gari an kashe wasu mutanen mutanena sun shiga wani hali bazan taba manta wanan ranan nan ba 😭😭😭😭	negative	Boko haram sun shiga garinmu garkida sun tarwatsa kowa kowa yanbar gari an kashe wasu mutanen mutanena sun shiga wani hali bazan taba manta wanan ranan nan ba	Boko Haram has committed everyone to the city, some people have been killed in at least the day
ha_train_00023	@user Duk salon yaudara ce kawai saboda ‘yan Najeriya su zabe shi a 2023!. Tun yaushe ake shan wahala a Najeriya? Ko sai yau ya sani? 😒	negative	Duk salon yaudara ce kawai saboda ‘yan Najeriya su zabe shi a 2023 Tun yaushe ake shan wahala a Najeriya Ko sai yau ya sani	All the style of deception because of the Nigerians voted in Nigeria, when long as long as he knew
ha_train_00024	@user Wai Cameroon domin lalacewa, gaskiya shugabanninmu basu da amfani😡	negative	Wai Cameroon domin lalacewa gaskiya shugabanninmu basu da amfani	Cameroon for damage facts our leaders are not useful
ha_train_00025	@user Lol hadda Yan nanaye akemana adawa🙆🙆🙆	negative	Lol hadda Yan nanaye akemana adawa	Lol Ye Nekee Opposition
ha_train_00026	@user Shikadai yasan wutar da yake karba yanxu haka 😔😂😂	negative	Shikadai yasan wutar da yake karba yanxu haka	The Shikadai knows a picking fire
ha_train_00027	@user Wannan tatsuniya ce hira ne yake fada kawae 😢😢 yasan da haka ya tafi can yawon barbada 🖕🏻	negative	Wannan tatsuniya ce hira ne yake fada kawae  yasan da haka ya tafi can yawon barbada	This is a fairy says he is fighting that he has go there
ha_train_00028	@user Yau ba ranar kulaku bace😂 No charge No surp	negative	Yau ba ranar kulaku bace No charge No surp	Today isn't the day of clinging no change no surp
ha_train_00029	@user Yau da shuwagabannin Najeriya ke bada iska da numfashi da tuni babu iri irin mu a doran qasa. 😔😔	negative	Yau da shuwagabannin Najeriya ke bada iska da numfashi da tuni babu iri irin mu a doran qasa	Nigerian leaders provide wind and breath that there is no such such as the earth
ha_train_00030	@user Idan kana iskancinka to katsaya iya jaharka amman inkashigo nan to tabbas zamu yimaka abinda baka tsammani koda babankae bihari😎	negative	Idan kana iskancinka to katsaya iya jaharka amman inkashigo nan to tabbas zamu yimaka abinda baka tsammani koda babankae bihari	If you are about to you to Kubaya Can Came
ha_train_00031	@user Ko a mafarki kinki mu haddu sai jiya, Jiya ma zamu haddu akawasa ruwa natashi daga bacci am really unlucky gaskiya😄😅😭😭😭	negative	Ko a mafarki kinki mu haddu sai jiya Jiya ma zamu haddu akawasa ruwa natashi daga bacci am really unlucky gaskiya	Or in a dream you should be we will be able to do with water
ha_train_00032	@user Wai ya makeup da kikeyi ba'a rage maki bakin vampires din ki ne? Baki har kunne😂😂	negative	Wai ya makeup da kikeyi baa rage maki bakin vampires din ki ne Baki har kunne	He witt the doup and me reduce your black vampires
ha_train_00033	@user An tarwatsa layin zabe a rumfar Mai Garin Gama👉 https://t.co/hkIGhLNwt3 #KanoRerun #NigeriaDecides #Kanodecides https://t.co/D2Uan8BrSz	negative	An tarwatsa layin zabe a rumfar Mai Garin Gama  KanoRerun NigeriaDecides Kanodecides	Visual line is dispersed in Kanorerun Notta Notta Niger
ha_train_00034	@user Subahana babu amana😂	negative	Subahana babu amana	Subahana is not confident
ha_train_00035	@user Yafi cuta illa 🤒 😂	negative	Yafi cuta illa	Mainly illness
ha_train_00036	@user Allah ya kara_next time tayi mata kunfu🔨🏃🏃🏃	negative	Allah ya karanext time tayi mata kunfu	God Appeal Time to Kun
ha_train_00037	@user Anci kudin dalibai. Hahahahah😀😂🤣 #mbuhari is working	negative	Anci kudin dalibai Hahahahah mbuhari is working	Ancah Mebuhah Mebuh Mebuh Mebuhari is Working
ha_train_00038	@user Mu masana ilimin yunwa mun tabbatar da 29 za'ayi 🙄🙄	negative	Mu masana ilimin yunwa mun tabbatar da 29 zaayi	Our starvation of starvation confirmed by 29 zoom
ha_train_00039	@user Da wani wawan fuskanshi a gurin🙄	negative	Da wani wawan fuskanshi a gurin	Have a fianger face in the sense
ha_train_00040	@user Ana iya shege a Nigerian 😂	negative	Ana iya shege a Nigerian	It can be neglected in Nigerian
ha_train_00041	@user 😭😭😭😭aikin knn Sai kwamushe yayan alummma ake Amma Kuna ta allurar karya wae Corona hmm kuje kufara karbo yaran da aka dauke snn kuzo kuyi mgn Corona	negative	aikin knn Sai kwamushe yayan alummma ake Amma Kuna ta allurar karya wae Corona hmm kuje kufara karbo yaran da aka dauke snn kuzo kuyi mgn Corona	The work of the Kummma is aka but you are the powder of the Zummma.
ha_train_00042	@user tabar solobiyo da bashi🤣	negative	tabar solobiyo da bashi	the want of soolo and debt
ha_train_00043	@user Tsakanin Mu da ke Sai Allah ya Isa kawai,Dun da baki Saka Wa ennan Hotunan ba, tun farko, da hakan Bata Faru ba, kuma Ma Kukan Me Zaki Zo nan kinayi, me Yasa Bakiyi tunani, tun Kafin ki Saka su ba, A dole ke kin waye, ke ga Celebrity, A zindir Allah ya isar mana Wlh 😢😢	negative	Tsakanin Mu da ke Sai Allah ya Isa kawaiDun da baki Saka Wa ennan Hotunan ba tun farko da hakan Bata Faru ba kuma Ma Kukan Me Zaki Zo nan kinayi me Yasa Bakiyi tunani tun Kafin ki Saka su ba A dole ke kin waye ke ga Celebrity A zindir Allah ya isar mana Wlh	Between us is then God arrived in the cowards of the photos of the photographs to the first time before you do not think that a celebrity in Zindir resigns to us with WLH
ha_train_00044	@user Insha Allahu baza a bayar ba karawa me karfi karfi asara ne wlh Allah Ameen 😂	negative	Insha Allahu baza a bayar ba karawa me karfi karfi asara ne wlh Allah Ameen	Bysha thanks to be provided not adding me strong strength losses is the WLH Allah Ameen
ha_train_00045	@user Dan Allah idan an girma Asan an girma. A wnn shekarun kana Irin wnn maganar. Kace ba'a taba Barna Irin wnn lkcn ba, abun nan fa abuse yake. Mai girma minista Ina ganin Girman ka😭	negative	Dan Allah idan an girma Asan an girma A wnn shekarun kana Irin wnn maganar Kace baa taba Barna Irin wnn lkcn ba abun nan fa abuse yake Mai girma minista Ina ganin Girman ka	WNN is grown in the meanings of Sayan, saying, Girls, and the son of
ha_train_00046	@user Eh hakan zai taimaka kam. Esp. Wajen tada musu da hankali. 😅 Su baba an waiwayi kurame. Ohh!	negative	Eh hakan zai taimaka kam Esp Wajen tada musu da hankali  Su baba an waiwayi kurame Ohh	Yes that will help Isp in misery
ha_train_00047	@user Gaskiya wannan hukunchi baiyi ba kuma abun yafara yawa sallar ma arasa lokachin hanata sai da axumii xa'ahana to ALLAH GASUNAN GAKA 😭😭😭😭😭	negative	Gaskiya wannan hukunchi baiyi ba kuma abun yafara yawa sallar ma arasa lokachin hanata sai da axumii xaahana to ALLAH GASUNAN GAKA	The truth of this punishment does not do and what is the number of money prayer and a dozenii but
ha_train_00048	@user Bb munfakai NE bayan zabe 🤔	negative	Bb munfakai NE bayan zabe	BB are compounded after election
ha_train_00049	@user In ta mune, har abada kar ma ya yi inganci😏🙄	negative	In ta mune har abada kar ma ya yi inganci	In her mun ever don't even make quality
ha_train_00050	@user Daga Baya kenan* """"""""""""""""Tusane ya qarewa bodari"""""""""""""""" """"""""""""""""Kuma babu wata shiga da kunun zaqi zaiyi yabawa koko tsoro"""""""""""""""" U can't undo what has happened girl Cuz u created the chance. Emmm sorry bby😟	negative	Daga Baya kenan Tusane ya qarewa bodari Kuma babu wata shiga da kunun zaqi zaiyi yabawa koko tsoro U cant undo what has happened girl Cuz u created the chance Emmm sorry bby	The Later, Tusane was later to enter the opening to praising the Wokl Cuz U Created The Chance Emmm Sorry BBY
ha_train_00051	@user Kaga dan bura uba kamar ya daga tutar musulunci se faman kwalalo ido yakeyi hiihihih😂😂😂😂	negative	Kaga dan bura uba kamar ya daga tutar musulunci se faman kwalalo ido yakeyi hiihihih	Father a new Father as from Islam SE Faralo's eye is hiihihihih
ha_train_00052	@user kugaya mishi buhari be ma San anyimishi mutuwa ba ai haryanzu😂😂😂	negative	kugaya mishi buhari be ma San anyimishi mutuwa ba ai haryanzu	Bukhay Buhari - Bukhari Buhari is not aybi
ha_train_00053	@user 😂🤣😄shegiya Weed Bbc ashe kuma kukan taba	negative	shegiya Weed Bbc ashe kuma kukan taba	Shegiya Weed BBC Now and your complain
ha_train_00054	@user @user @user taraba diyan banza😸	negative	taraba diyan banza	Taraba Diya
ha_train_00055	@user Ina ruwanmu daman bazamu ba 😏 Wancan shhekaran ma da muka je 200 ya bamu dan uwatar 😎😏	negative	Ina ruwanmu daman bazamu ba  Wancan shhekaran ma da muka je 200 ya bamu dan uwatar	Where is our desired water not that we went to 200 and give us my son
ha_train_00056	@user Zasu sa miki hawan jini kau😂😂😂	negative	Zasu sa miki hawan jini kau	They will wear blood pressure
ha_train_00057	@user Ansace Yaran Primary a Kaduna Yau Baice komai va, Amma kaji Mugun Wai a yau din dai ya fito yana Taya Mawaqa Murna🤣🤣 Alqur""""""""""""""""an yan Arewa kun Zabi Keken Bera🏃🏃	negative	Ansace Yaran Primary a Kaduna Yau Baice komai va Amma kaji Mugun Wai a yau din dai ya fito yana Taya Mawaqa Murna Alquran yan Arewa kun Zabi Keken Bera	The Primary children in Kaduna is not wrong today doesn't think bad va but chicks badly today
ha_train_00058	@user Dama an ce yaranta kaman hauka ne.. sai ya he ya ci gaba da dawisu sa a gidan baban sa.😁😂🤣	negative	Dama an ce yaranta kaman hauka ne sai ya he ya ci gaba da dawisu sa a gidan baban sa	Rights are said to be mad then he continued to make his father's house
ha_train_00059	@user Allah ya tsinewa amnesty albarka. Allah ya wulakanta su fiye da yadda suke wulakanta bangarorin musulunci. Ameen ya HAYYU YA QAYYUM 😭	negative	Allah ya tsinewa amnesty albarka Allah ya wulakanta su fiye da yadda suke wulakanta bangarorin musulunci Ameen ya HAYYU YA QAYYUM	God wins Amnesty God to humiliate them more than they humiliated Islam Ameen to be alive
ha_train_00060	@user All dis and dt na scam ... .. dole qanwar naqi @user .. ta sanadinki .. anyima annabinmu isgili ... mara kunya kawae ...😡😡.. dawai ribabban jikinki . Mara albarkan dunia bare qiyama ...👺👺	negative	All dis and dt na scam   dole qanwar naqi   ta sanadinki  anyima annabinmu isgili  mara kunya kawae  dawai ribabban jikinki  Mara albarkan dunia bare qiyama	All D Dis and DT of Scam must have the name of the cause of the Best of the Barta Duna
ha_train_00061	@user Saidai rahama taji kunya Kuma tasabajin Kunya dama🙄🙄	negative	Saidai rahama taji kunya Kuma tasabajin Kunya dama	The mercy sent to the face and trace of shame right
ha_train_00062	@user YDG dama idon kaji saurayin da yace ma budurwa ta turo Mai da tsiraicin ta, toh ba auran ta zai yi ba lalata kawai yake so yayi 😭😭	negative	YDG dama idon kaji saurayin da yace ma budurwa ta turo Mai da tsiraicin ta toh ba auran ta zai yi ba lalata kawai yake so yayi	YDG Righteous to the cars about telling the virgin to send the nakedness of the nakedness
ha_train_00063	@user Kayyasa 🤗🤗🤗🤗🤔🤔🤔Gaskiya bata kyautata ba.	negative	Kayyasa Gaskiya bata kyautata ba	The fact that the truth is not
ha_train_00064	@user Za ta kwashi kashin ta a hannu kuwa😆	negative	Za ta kwashi kashin ta a hannu kuwa	It will take her bone in hand and
ha_train_00065	@user Kaji abin haushi toh uwar me mutun zaizo yayi daga kano zuwa kaduna Allah n tuba ay gara na tafi kauyen dadin kowa🤣	negative	Kaji abin haushi toh uwar me mutun zaizo yayi daga kano zuwa kaduna Allah n tuba ay gara na tafi kauyen dadin kowa	Makan Haram Tah Mother Of The Mother Of Men's Men's FUTURE TO FROM KU Karano to Kaduna God Nât come to Village
ha_train_00066	@user 'Yan bindiga sun sace 'yan China huɗu a Calabar da ke kudancin Najeriya 👉 https://t.co/gIeOaj41G8 https://t.co/VHRp60F17d	negative	Yan bindiga sun sace yan China huɗu a Calabar da ke kudancin Najeriya	Gunmen have stolen four of China in Calar
ha_train_00067	@user Muna funcin banza 😏	negative	Muna funcin banza	We furnish
ha_train_00068	@user Akwai Allah aie shiyasa basu damuba koda Nigeria zata lalace a shiga yaqi da tashin hankali tunda sunada inda zasuje su huta 😭	negative	Akwai Allah aie shiyasa basu damuba koda Nigeria zata lalace a shiga yaqi da tashin hankali tunda sunada inda zasuje su huta	There is no God even when there is Nigeria
ha_train_00069	@user Wllh wannan azzalumi magani guda a harbe shi har lahira domin yazama darasi ga azzalummai irin shi, Ni gaskiya banga alamun yin adalci a gwamnatin Shugaba @user ba wllh, Wannan ta'asa har ina?😭😭😭😭😭😭😭😭😭😭😭😭😭😭	negative	Wllh wannan azzalumi magani guda a harbe shi har lahira domin yazama darasi ga azzalummai irin shi Ni gaskiya banga alamun yin adalci a gwamnatin Shugaba  ba wllh Wannan taasa har ina	Wllh this bullying one disorders of the dead to last a lesson for the transgressor of the leader to this country
ha_train_00070	@user yana dan kauyensa See the mouth 😂😂😂 http://t.co/u8KxQ0jMhE	negative	yana dan kauyensa See the mouth	he was his village See the Mouth
ha_train_00071	@user @user Uwar me zasu musu, bayan sun fada anqaryata suuu😏	negative	Uwar me zasu musu bayan sun fada anqaryata suuu	Mother what would have told the Suuu was served
ha_train_00072	@user Dan daura Mayen jirgi😂😂	negative	Dan daura Mayen jirgi	A tied toche
ha_train_00073	@user bandicts Jiya ma da daddare sunshiga garin Dan kaya dake Sheme ward sunkashe mutum ukku aciki harda jariri,sun kwashi dukiya sun ware abunsu kamar yadda suka saba.bayannan suntafi Qauyen Unguwar Hayaqi nan ma sun kwashi dukiya suntafi hankalin su a kwance.😭🤲 https://t.co/4qpaWvVh3C	negative	bandicts Jiya ma da daddare sunshiga garin Dan kaya dake Sheme ward sunkashe mutum ukku aciki harda jaririsun kwashi dukiya sun ware abunsu kamar yadda suka sababayannan suntafi Qauyen Unguwar Hayaqi nan ma sun kwashi dukiya suntafi hankalin su a kwance	Bandicts Yesterday, too late at night, Shemi Ward are involved in the smoke kickstick
ha_train_00074	@user Kai zakuci kaniyan ku fah.😠 Kaga ja'iran yara😡	negative	Kai zakuci kaniyan ku fah Kaga jairan yara	You are going to keep you fah draw your kids
ha_train_00075	@user Tariq ae an dade ba ayi wawa jaki kamarsa ba 💯snitch	negative	Tariq ae an dade ba ayi wawa jaki kamarsa ba snitch	Tariq Ae has been a stupid plan, like him is not SNInitch
ha_train_00076	@user Ai kin banzah kenn🤷ina wadan da aka saya a baya ?	negative	Ai kin banzah kennina wadan da aka saya a baya	For more in the past
ha_train_00077	@user To me za'ayiwa gawar shegen kenan😀😀😀	negative	To me zaayiwa gawar shegen kenan	So what are the sheen's body
ha_train_00078	@user Wallahi inada yaqini cewa buhari baze iya gyara nigeria ba nananda shekara ashirin masuzuwa buhari yakasa #SecureNorth 😭😭😭	negative	Wallahi inada yaqini cewa buhari baze iya gyara nigeria ba nananda shekara ashirin masuzuwa buhari yakasa SecureNorth	Wallama Truste that Buhari could not corrix two years since prosecuting Buhari Secura
ha_train_00079	@user @user ga abinda talakawanka suka fi bukata nan ba wannan bah ka tuna talakawa na cikin mawuyacin hali a kasarka End Sars❌ End North Banditry ❌ #EndSARS #EndNorthBanditry ka duba halin da talakan ka yake ciki	negative	ga abinda talakawanka suka fi bukata nan ba wannan bah ka tuna talakawa na cikin mawuyacin hali a kasarka End Sars End North Banditry  EndSARS EndNorthBanditry ka duba halin da talakan ka yake ciki	see what the poor is the most important thing that this is not because of the poor in the world endsars endnorthbanditry
ha_train_00080	@user 😂😂😂😂kana samun baki a cikin interview	negative	kana samun baki a cikin interview	you're getting black in the interview
ha_train_00081	@user Ai da alama zai zama bashi ga tsuntsu ba shi ga tarko, kuma yayi mutuwar almuru kenan.😀😀	negative	Ai da alama zai zama bashi ga tsuntsu ba shi ga tarko kuma yayi mutuwar almuru kenan	Ai is likely to be debt to the bird is not a trap and lamented
ha_train_00082	@user Wadannan Kamata yayi I.G of police yasa aci UWAR Wadannan jakai 😠😠😠😠	negative	Wadannan Kamata yayi IG of police yasa aci UWAR Wadannan jakai	These should log IG out of Police We're Picked
ha_train_00083	@user ina nillahi ah ah jiya fa akace an kwashe mutane fiye da 50 a naija yau kuma 👌🤔	negative	ina nillahi ah ah jiya fa akace an kwashe mutane fiye da 50 a naija yau kuma	Where did Nillahi Ahoth yesterday is the same for more than 50 people in Nija Today and
ha_train_00084	@user Na rasa mahaifiya da yar'uwata a wannan shekarar so bazan taba mantawa da ita ba har Nima in koma ga Allah 😭😭	negative	Na rasa mahaifiya da yaruwata a wannan shekarar so bazan taba mantawa da ita ba har Nima in koma ga Allah	I lost my mother and my sister this year I will never forget her to go back to God
ha_train_00085	@user bakin rijiya ba wajan wasan yaro bane 😁	negative	bakin rijiya ba wajan wasan yaro bane	The well's head was not a child's game
ha_train_00086	@user Kowa anan zai nuna shi he is pure while he isa devil himself wasunku masu zagin @user anan shahararrun yen iskane wasuma yen luwadi ne wasu kawalai ne kannanku wasu karuwai ne irin shigar dasukeyi ma ya baci sune zuwa party,club amma kunaku ba iskanci sukeba idiots😠😠😠	negative	Kowa anan zai nuna shi he is pure while he isa devil himself wasunku masu zagin  anan shahararrun yen iskane wasuma yen luwadi ne wasu kawalai ne kannanku wasu karuwai ne irin shigar dasukeyi ma ya baci sune zuwa partyclub amma kunaku ba iskanci sukeba idiots	Another here will show it's Pure While He Isa Devil Himself Waski, some criticisms of your kinds
ha_train_00087	@user @user @user masu manufa mai kyau ba irin su oo ba iyayen baragada😨	negative	masu manufa mai kyau ba irin su oo ba iyayen baragada	Good targeted by the purpose for OO
ha_train_00088	@user Ya dawo kaduna su hade da @user Su yi ta bankaura😂	negative	Ya dawo kaduna su hade da  Su yi ta bankaura	Returns Kaduna to be associated with
ha_train_00089	@user Mutanenda suka kasa kashe wutar gidajensu taya za ayi sukashe ta makwabta? Neman iyawane dama yakaisu dakuma andade ba hawo jirgiba 🙆	negative	Mutanenda suka kasa kashe wutar gidajensu taya za ayi sukashe ta makwabta Neman iyawane dama yakaisu dakuma andade ba hawo jirgiba	Who could not kill the fire of their houses and neighborhoods for a right to righteousness
ha_train_00090	@user don Allah suyi wannan qarin mu wuce gurin tunda shi Buhari baqin ciki yakeyi da walwalar talaka😎	negative	don Allah suyi wannan qarin mu wuce gurin tunda shi Buhari baqin ciki yakeyi da walwalar talaka	Please do this desire to go to the custody since Shi buhari
ha_train_00091	@user Kowa na karbar tsabga... BBC ma sun rasa labarin da zasuyi posting sae kamekame 😂	negative	Kowa na karbar tsabga BBC ma sun rasa labarin da zasuyi posting sae kamekame	Everyone who receives the BBC has missed the story to make Kumkame
ha_train_00092	@user Ya ce ya kasa ya sauka ya bar mulkin tunda ba dashi aka zo dunia ba ehe 😏 #SecureNorth	negative	Ya ce ya kasa ya sauka ya bar mulkin tunda ba dashi aka zo dunia ba ehe  SecureNorth	He said he could not go down and left the king since does not occur in Dunia Baecurnth
ha_train_00093	@user @user Baba kenan to mudai muna water🤣🤣	negative	Baba kenan to mudai muna water	Baby then our donkey we are water
ha_train_00094	@user Ya kamata auren na gida,ko baki ci kin sha ba xaki ga uwar ki a kan kari😂😂😂	negative	Ya kamata auren na gidako baki ci kin sha ba xaki ga uwar ki a kan kari	Wako's marriage should you drink a master to your mother
ha_train_00095	@user Rashin iya buga tamola 😅	negative	Rashin iya buga tamola	Unable to print Tamola
ha_train_00096	@user @user Ina goyon bayan jaridar @user domin babu banbanci tsakanin mulkin Buhari da mulkin Soja wallahi, ta kowane fanni matsaloli ne, duba da irin yadda ake yiwa talakka mulkin mallaka, Babu wani Abu na cigaba ga talaka a Nigeria😭😭	negative	Ina goyon bayan jaridar  domin babu banbanci tsakanin mulkin Buhari da mulkin Soja wallahi ta kowane fanni matsaloli ne duba da irin yadda ake yiwa talakka mulkin mallaka Babu wani Abu na cigaba ga talaka a Nigeria	I support the newspaper because there is no difference between Buhari kingdom of the military is the governor of the colonial view in Nigeria
ha_train_00097	@user Wacece Zahra wacece Kiki ? End Banditry in the North 🙄 Bamu yafeba.	negative	Wacece Zahra wacece Kiki  End Banditry in the North  Bamu yafeba	What is Kahra Ifce Kiki End Banditry In The North Gwba
ha_train_00098	@user Dama duk karyane inji gwamnanmu ba injiniba 🗣️🗣️🗣️🗣️	negative	Dama duk karyane inji gwamnanmu ba injiniba	Right all speeches of our governor is not engineer
ha_train_00099	@user Saboda munafiki ne, duk silan korarmu daga world cup😏	negative	Saboda munafiki ne duk silan korarmu daga world cup	For the hypocrisy are all the Silan Korarter from World Cup
ha_train_00100	@user @user Lol 😂 Sunji uwar wuta kenan	negative	Lol  Sunji uwar wuta kenan	Lol have been a fire to hell
